time,available_stores
2026-02-08 17:24:50-05:00,4427600
2026-02-08 17:25:00-05:00,4429039
2026-02-08 17:25:10-05:00,4428588
2026-02-08 17:25:20-05:00,4429629
2026-02-08 17:25:30-05:00,4434383
2026-02-08 17:25:40-05:00,4440288
2026-02-08 17:25:50-05:00,4440430
2026-02-08 17:26:00-05:00,4444295
2026-02-08 17:26:10-05:00,4433305
2026-02-08 17:26:20-05:00,4429409
2026-02-08 17:26:30-05:00,4422199
2026-02-08 17:26:40-05:00,4416170
2026-02-08 17:26:50-05:00,4414809
2026-02-08 17:27:00-05:00,4413173
2026-02-08 17:27:10-05:00,4408332
2026-02-08 17:27:20-05:00,4406289
2026-02-08 17:27:30-05:00,4406703
2026-02-08 17:27:40-05:00,4404180
2026-02-08 17:27:50-05:00,4401805
2026-02-08 17:28:00-05:00,4401370
2026-02-08 17:28:10-05:00,4407456
2026-02-08 17:28:20-05:00,4408349
2026-02-08 17:28:30-05:00,4408330
2026-02-08 17:28:40-05:00,4407337
2026-02-08 17:28:50-05:00,4403945
2026-02-08 17:29:00-05:00,4398118
2026-02-08 17:29:10-05:00,4401131
2026-02-08 17:29:20-05:00,4399846
2026-02-08 17:29:30-05:00,4399094
2026-02-08 17:29:40-05:00,4395102
2026-02-08 17:29:50-05:00,4394153
2026-02-08 17:30:00-05:00,4391900
2026-02-08 17:30:10-05:00,4391932
2026-02-08 17:30:20-05:00,4384590
2026-02-08 17:30:30-05:00,4382327
2026-02-08 17:30:40-05:00,4375315
2026-02-08 17:30:50-05:00,4375261
2026-02-08 17:31:00-05:00,4371237
2026-02-08 17:31:10-05:00,4375359
2026-02-08 17:31:20-05:00,4373965
2026-02-08 17:31:30-05:00,4369284
2026-02-08 17:31:40-05:00,4364032
2026-02-08 17:31:50-05:00,4362703
2026-02-08 17:32:00-05:00,4356434
2026-02-08 17:32:10-05:00,4352955
2026-02-08 17:32:20-05:00,4368761
2026-02-08 17:32:30-05:00,4365925
2026-02-08 17:32:40-05:00,4365720
2026-02-08 17:32:50-05:00,4368190
2026-02-08 17:33:00-05:00,4367446
2026-02-08 17:33:10-05:00,4366972
2026-02-08 17:33:20-05:00,4371399
2026-02-08 17:33:30-05:00,4374193
2026-02-08 17:33:40-05:00,4379696
2026-02-08 17:33:50-05:00,4386353
2026-02-08 17:34:00-05:00,4393114
2026-02-08 17:34:10-05:00,4395458
2026-02-08 17:34:20-05:00,4402063
2026-02-08 17:34:30-05:00,4403277
2026-02-08 17:34:40-05:00,4404553
2026-02-08 17:34:50-05:00,4402310
2026-02-08 17:35:00-05:00,4406383
2026-02-08 17:35:10-05:00,4409061
2026-02-08 17:35:20-05:00,4419052
2026-02-08 17:35:30-05:00,4420331
2026-02-08 17:35:40-05:00,4423205
2026-02-08 17:35:50-05:00,4424360
2026-02-08 17:36:00-05:00,4422070
2026-02-08 17:36:10-05:00,4417638
2026-02-08 17:36:20-05:00,4420794
2026-02-08 17:36:30-05:00,4429051
2026-02-08 17:36:40-05:00,4438617
2026-02-08 17:36:50-05:00,4442187
2026-02-08 17:37:00-05:00,4447495
2026-02-08 17:37:10-05:00,4453946
2026-02-08 17:37:20-05:00,4440950
2026-02-08 17:37:30-05:00,4438808
2026-02-08 17:37:40-05:00,4435932
2026-02-08 17:37:50-05:00,4435527
2026-02-08 17:38:00-05:00,4435157
2026-02-08 17:38:10-05:00,4434819
2026-02-08 17:38:20-05:00,4434521
2026-02-08 17:38:30-05:00,4433713
2026-02-08 17:38:40-05:00,4431728
2026-02-08 17:38:50-05:00,4430633
2026-02-08 17:39:00-05:00,4427478
2026-02-08 17:39:10-05:00,4422639
2026-02-08 17:39:20-05:00,4417972
2026-02-08 17:39:30-05:00,4415007
2026-02-08 17:39:40-05:00,4418896
2026-02-08 17:39:50-05:00,4428699
2026-02-08 17:40:00-05:00,4428189
2026-02-08 17:40:10-05:00,4427272
2026-02-08 17:40:20-05:00,4426090
2026-02-08 17:40:30-05:00,4425443
2026-02-08 17:40:40-05:00,4424772
2026-02-08 17:40:50-05:00,4423820
2026-02-08 17:41:00-05:00,4423905
2026-02-08 17:41:10-05:00,4423606
2026-02-08 17:41:20-05:00,4421277
2026-02-08 17:41:30-05:00,4421163
2026-02-08 17:41:40-05:00,4416442
2026-02-08 17:41:50-05:00,4410968
2026-02-08 17:42:00-05:00,4403966
2026-02-08 17:42:10-05:00,4398586
2026-02-08 17:42:20-05:00,4396096
2026-02-08 17:42:30-05:00,4389862
2026-02-08 17:42:40-05:00,4385894
2026-02-08 17:42:50-05:00,4377617
2026-02-08 17:43:00-05:00,4365714
2026-02-08 17:43:10-05:00,4353688
2026-02-08 17:43:20-05:00,4342322
2026-02-08 17:43:30-05:00,4331656
2026-02-08 17:43:40-05:00,4324108
2026-02-08 17:43:50-05:00,4314017
2026-02-08 17:44:00-05:00,4310136
2026-02-08 17:44:10-05:00,4308813
2026-02-08 17:44:20-05:00,4305260
2026-02-08 17:44:30-05:00,4305048
2026-02-08 17:44:40-05:00,4299912
2026-02-08 17:44:50-05:00,4292487
2026-02-08 17:45:00-05:00,4282776
2026-02-08 17:45:10-05:00,4273769
2026-02-08 17:45:20-05:00,4268478
2026-02-08 17:45:30-05:00,4260863
2026-02-08 17:45:40-05:00,4252863
2026-02-08 17:45:50-05:00,4244136
2026-02-08 17:46:00-05:00,4246899
2026-02-08 17:46:10-05:00,4243052
2026-02-08 17:46:20-05:00,4237797
2026-02-08 17:46:30-05:00,4226423
2026-02-08 17:46:40-05:00,4217311
2026-02-08 17:46:50-05:00,4211665
2026-02-08 17:47:00-05:00,4205905
2026-02-08 17:47:10-05:00,4201689
2026-02-08 17:47:20-05:00,4207386
2026-02-08 17:47:30-05:00,4216706
2026-02-08 17:47:40-05:00,4217616
2026-02-08 17:47:50-05:00,4219196
2026-02-08 17:48:00-05:00,4224218
2026-02-08 17:48:10-05:00,4230596
2026-02-08 17:48:20-05:00,4234826
2026-02-08 17:48:30-05:00,4240425
2026-02-08 17:48:40-05:00,4254521
2026-02-08 17:48:50-05:00,4263017
2026-02-08 17:49:00-05:00,4266687
2026-02-08 17:49:10-05:00,4264593
2026-02-08 17:49:20-05:00,4264061
2026-02-08 17:49:30-05:00,4259629
2026-02-08 17:49:40-05:00,4255888
2026-02-08 17:49:50-05:00,4251612
2026-02-08 17:50:00-05:00,4251969
2026-02-08 17:50:10-05:00,4253382
2026-02-08 17:50:20-05:00,4263329
2026-02-08 17:50:30-05:00,4272264
2026-02-08 17:50:40-05:00,4277909
2026-02-08 17:50:50-05:00,4279323
2026-02-08 17:51:00-05:00,4267683
2026-02-08 17:51:10-05:00,4260198
2026-02-08 17:51:20-05:00,4256144
2026-02-08 17:51:30-05:00,4254125
2026-02-08 17:51:40-05:00,4254450
2026-02-08 17:51:50-05:00,4254250
2026-02-08 17:52:00-05:00,4246431
2026-02-08 17:52:10-05:00,4239994
2026-02-08 17:52:20-05:00,4227452
2026-02-08 17:52:30-05:00,4221021
2026-02-08 17:52:40-05:00,4213566
2026-02-08 17:52:50-05:00,4207271
2026-02-08 17:53:00-05:00,4196833
2026-02-08 17:53:10-05:00,4187473
2026-02-08 17:53:20-05:00,4190457
2026-02-08 17:53:30-05:00,4180048
2026-02-08 17:53:40-05:00,4177766
2026-02-08 17:53:50-05:00,4171069
2026-02-08 17:54:00-05:00,4165140
2026-02-08 17:54:10-05:00,4166943
2026-02-08 17:54:20-05:00,4169485
2026-02-08 17:54:30-05:00,4172018
2026-02-08 17:54:40-05:00,4172312
2026-02-08 17:54:50-05:00,4172886
2026-02-08 17:55:00-05:00,4172113
2026-02-08 17:55:10-05:00,4164049
2026-02-08 17:55:20-05:00,4148058
2026-02-08 17:55:30-05:00,4126845
2026-02-08 17:55:40-05:00,4113526
2026-02-08 17:55:50-05:00,4106299
2026-02-08 17:56:00-05:00,4095650
2026-02-08 17:56:10-05:00,4084758
2026-02-08 17:56:20-05:00,4080579
2026-02-08 17:56:30-05:00,4077933
2026-02-08 17:56:40-05:00,4073409
2026-02-08 17:56:50-05:00,4069637
2026-02-08 17:57:00-05:00,4071653
2026-02-08 17:57:10-05:00,4072802
2026-02-08 17:57:20-05:00,4072033
2026-02-08 17:57:30-05:00,4064441
2026-02-08 17:57:40-05:00,4066940
2026-02-08 17:57:50-05:00,4071966
2026-02-08 17:58:00-05:00,4084062
2026-02-08 17:58:10-05:00,4095296
2026-02-08 17:58:20-05:00,4093392
2026-02-08 17:58:30-05:00,4098283
2026-02-08 17:58:40-05:00,4077735
2026-02-08 17:58:50-05:00,4074240
2026-02-08 17:59:00-05:00,4068914
2026-02-08 17:59:10-05:00,4061541
2026-02-08 17:59:20-05:00,4064965
2026-02-08 17:59:30-05:00,4059789
2026-02-08 17:59:40-05:00,4057699
2026-02-08 17:59:50-05:00,4051929
2026-02-08 18:00:00-05:00,4049125
2026-02-08 18:00:10-05:00,4053529
2026-02-08 18:00:20-05:00,4072558
2026-02-08 18:00:30-05:00,4084771
2026-02-08 18:00:40-05:00,4094546
2026-02-08 18:00:50-05:00,4106176
2026-02-08 18:01:00-05:00,4120412
2026-02-08 18:01:10-05:00,4137067
2026-02-08 18:01:20-05:00,4145381
2026-02-08 18:01:30-05:00,4151742
2026-02-08 18:01:40-05:00,4158412
2026-02-08 18:01:50-05:00,4165094
2026-02-08 18:02:00-05:00,4172085
2026-02-08 18:02:10-05:00,4178562
2026-02-08 18:02:20-05:00,4179920
2026-02-08 18:02:30-05:00,4183332
2026-02-08 18:02:40-05:00,4182463
2026-02-08 18:02:50-05:00,4184779
2026-02-08 18:03:00-05:00,4179748
2026-02-08 18:03:10-05:00,4171879
2026-02-08 18:03:20-05:00,4163886
2026-02-08 18:03:30-05:00,4161268
2026-02-08 18:03:40-05:00,4163819
2026-02-08 18:03:50-05:00,4164064
2026-02-08 18:04:00-05:00,4164606
2026-02-08 18:04:10-05:00,4164671
2026-02-08 18:04:20-05:00,4157286
2026-02-08 18:04:30-05:00,4159953
2026-02-08 18:04:40-05:00,4156865
2026-02-08 18:04:50-05:00,4154178
2026-02-08 18:05:00-05:00,4151197
2026-02-08 18:05:10-05:00,4158836
2026-02-08 18:05:20-05:00,4140594
2026-02-08 18:05:30-05:00,4133841
2026-02-08 18:05:40-05:00,4123575
2026-02-08 18:05:50-05:00,4112597
2026-02-08 18:06:00-05:00,4102749
2026-02-08 18:06:10-05:00,4095125
2026-02-08 18:06:20-05:00,4090723
2026-02-08 18:06:30-05:00,4086354
2026-02-08 18:06:40-05:00,4082389
2026-02-08 18:06:50-05:00,4089433
2026-02-08 18:07:00-05:00,4089074
